,brand,url,label
220,blue seven,https://blueseven.com,SUS
221,bluefields,https://bluefields-fashion.com,NOT
222,blundstone,https://blundstone.com,NOT
223,blush,https://blushclothing.ie,NOT
224,blutsgeschwister,https://blutsgeschwister.de,SUS
225,bms,https://www.bms-shop.com,SUS
226,bocage,https://bocage.eu,NOT
227,boden,https://boden.co.uk,NOT
228,bogner,https://bogner.com,NOT
229,bohemian fair trade,https://bohemianfairtrade.com/,SUS
230,bombers,https://bombers-original.com,NOT
231,bomboogie,https://bomboogie.com,NOT
232,bon'a parte,https://bonaparteshop.com,NOT
233,bonsai kitten,https://bonsaikitten.com.au,SUS
234,boo surfwear,https://boosurfwear.com,SUS
235,boob,https://boobdesign.com,SUS
236,boohoo,https://boohoo.com,NOT
237,boohoo man,https://boohooman.com,NOT
238,bookman,https://bookman.se,SUS
239,boomerang,https://boomerangstore.com,SUS
240,boras,https://boras.com,SUS
241,boris industries,https://borisindustries.com,SUS
242,born rich,https://bornrichclothing.com,NOT
243,born shoes,https://www.bornshoes.com,NOT
244,bota safari,http://botasafari.com/en/,NOT
245,bottega veneta,https://bottegaveneta.com,NOT
246,bourgeois boheme,https://bboheme.com/,SUS
247,boxfresh,https://boxfresh.com,NOT
248,boys&girls,https://boysgirlsonline.com,SUS
249,braend,http://braend.nl,SUS
250,brainshirt,https://brainshirt.eu,SUS
251,brako,http://brakoanatomics.com,SUS
252,brams paris,https://bramsparis.com,SUS
253,brandit,https://brandit-wear.com,SUS
254,brandtex,https://brandtex.dk,SUS
255,brandy & melville,https://brandymelvilleusa.com,NOT
256,brava fabrics,https://bravafabrics.com,SUS
257,brave soul,https://bravesoul.co.uk,NOT
258,brax,https://brax.com,NOT
259,bread & boxers,https://breadandboxers.com/,SUS
260,bree,https://bree.com,NOT
261,breil,https://breil.com,SUS
262,breizuss,https://breizuss.nl,SUS
263,brice,https://brice.fr,NOT
264,bristol,https://bristol-studio.com,NOT
265,british knights,https://britishknights.com,NOT
266,brixtol textiles,https://brixtoltextiles.com,NOT
267,brixton,https://brixton.com,NOT
268,broadway,https://broadwayfashion.ca,NOT
269,bronx,https://bronxclothing.co.uk,NOT
270,brooklyn soap,https://bklynsoap.com/,SUS
271,brooks,https://brooksrunning.com,NOT
272,brooks brothers,https://brooksbrothers.com,NOT
273,brooks england,https://brooksengland.com,NOT
274,brubeck,http://brubeck.co.uk,SUS
275,brunello cucinelli,http://brunellocucinelli.com,NOT
276,bruno banani,https://brunobanani.com,NOT
277,brunotti,https://www.brunotti.com,NOT
278,bruuns bazaar,https://bruunsbazaar.com,SUS
279,buddha to buddha,https://buddhatobuddha.com,NOT
280,bufandy,https://bufandy.com,SUS
281,buff,https://buff.com,SUS
282,buffalo,http://buffalosystems.co.uk,SUS
283,bugatti,https://bugatti-fashion.com,NOT
284,bullboxer,https://bullboxer.com,SUS
285,bumble and bumble,https://bumbleandbumble.com,NOT
286,bundle 'n joy,https://bundlenjoy.com,SUS
287,burberry,https://uk.burberry.com,NOT
288,burker watches,https://burkerwatches.com,SUS
289,burlington,https://burlington.com,NOT
290,burt's bees,https://burtsbeesbaby.com,SUS
291,burton,https://burton.co.uk,NOT
292,by garment makers,https://bygarmentmakers.com/,SUS
293,by malina,https://bymalina.com,NOT
