,brand,url,label,website_active
195,bhava studio,https://bhavastudio.com,SUS,True
196,bianco,https://bianco.com,NOT,False
197,bibico,https://bibico.co.uk,SUS,True
198,bickley & mitchell,https://bickleyandmitchell.com/,SUS,True
199,bidi badu,https://bidibadu.com,SUS,True
200,bik bok,https://bikbok.com,NOT,True
201,bikkembergs,https://bikkembergs.com,NOT,True
202,billabong,https://billabong.com,NOT,True
203,billi bi,https://billibi.com/en/,NOT,True
204,billy the kid,https://billiethekid.com.au/,SUS,True
205,birkenstock,https://birkenstock.com,SUS,False
206,bisgaard,https://bisgaardshoes.com,SUS,True
207,bizzbee,https://bizzbee.com,NOT,True
208,björn borg,https://bjornborg.com,NOT,True
209,black diamond,https://blackdiamondequipment.com,NOT,True
210,black milk,https://blackmilkclothing.com,NOT,True
211,blacksocks,https://blacksocks.com,SUS,True
212,blackstone,https://blackstoneclothing.co.nz,NOT,True
213,blaumax,https://blaumax.com,NOT,True
214,blend,https://blendcompany.com,NOT,True
215,blend she,http://www.blendshe.com,SUS,True
216,blind barber,https://blindbarber.com,SUS,True
217,bloi,http://bloi.se,SUS,True
218,bloom,https://bloomclothingcompany.com,SUS,True
219,blue industry,https://www.blueindustry.nl,SUS,True
220,blue seven,https://blueseven.com,SUS,True
221,bluefields,https://bluefields-fashion.com,NOT,True
222,blundstone,https://blundstone.com,NOT,True
223,blush,https://blushclothing.ie,NOT,True
224,blutsgeschwister,https://blutsgeschwister.de,SUS,True
225,bms,https://www.bms-shop.com,SUS,True
226,bocage,https://bocage.eu,NOT,False
227,boden,https://boden.co.uk,NOT,True
228,bogner,https://bogner.com,NOT,True
229,bohemian fair trade,https://bohemianfairtrade.com/,SUS,True
230,bombers,https://bombers-original.com,NOT,True
231,bomboogie,https://bomboogie.com,NOT,False
232,bon'a parte,https://bonaparteshop.com,NOT,True
233,bonsai kitten,https://bonsaikitten.com.au,SUS,True
234,boo surfwear,https://boosurfwear.com,SUS,True
235,boob,https://boobdesign.com,SUS,False
236,boohoo,https://boohoo.com,NOT,True
237,boohoo man,https://boohooman.com,NOT,True
238,bookman,https://bookman.se,SUS,True
239,boomerang,https://boomerangstore.com,SUS,True
240,boras,https://boras.com,SUS,True
241,boris industries,https://borisindustries.com,SUS,True
242,born rich,https://bornrichclothing.com,NOT,True
243,born shoes,https://www.bornshoes.com,NOT,True
244,bota safari,http://botasafari.com/en/,NOT,False
245,bottega veneta,https://bottegaveneta.com,NOT,True
246,bourgeois boheme,https://bboheme.com/,SUS,True
247,boxfresh,https://boxfresh.com,NOT,False
